platkey,platName
133540,people.com
133541,peopleenespanol.com
133544,realsimple.com
133551,shape.com
133556,solvemedia.com
133558,southernliving.com
133563,travelandleisure.com
133567,woodmagazine.com
136836,adbro.me
136856,audiopulsar.com
136870,fout.jp
136881,innity.com
139160,admandmedia.com
143176,condenast.com
148151,admarvel.com
148291,waardex.com
153137,vidstart.com
154115,resultsmedia.com
154449,videmob.com
155628,admetricspro.com
173064,datacygnal.io
173083,hoopladigital.co.uk
173196,whenevermedia.com
174538,getadmiral.com
175953,itnnetworks.com
180404,purpleads.io
180435,thirdpresence.com
181526,4aolcloud.net
181529,ad-stir.com
181535,ads.adasiaholdings.com
